Origin 3-Digit,Dest 3-Digit,Origin Zip,Dest Zip,Lane Volume,Warp Rate,Cheapest Non-Warp Rate,Cheapest Non-Warp Carrier
87,450,8701,45011,597,$220.69,$187.82,Ward Trucking
70,330,7036,33018,595,$280.16,$271.01,Specialized Freight Carriers
906,958,90660,95828,595,$264.39,$263.14,Mountain Valley Express
604,600,60440,60007,591,$126.02,$163.8,TAX AIRFREIGHT
70,401,7094,40165,586,$202.4,$236.1,R&L Carriers
336,331,33624,33182,585,$208.27,$157.94,Specialized Freight Carriers
906,980,90670,98002,583,$248.24,$443.71,STG LTL formerly Frontline Freight
272,331,27288,33178,582,$259.41,$333.26,AAA COOPER TRANSPORTATION
88,917,8817,91730,581,$544.69,$423.71,STG LTL formerly Frontline Freight
331,333,33166,33317,580,$139.65,$157.94,Specialized Freight Carriers
900,770,90058,77036,578,$402.39,$310.98,XPO Logistics
917,894,91761,89434,577,,$232.85,Mountain Valley Express
410,331,41048,33182,577,$290.49,$330.44,Forward Air
337,770,33714,77035,577,$248.76,$199.68,AAA COOPER TRANSPORTATION
752,770,75220,77093,575,$223.52,$159.52,SOUTHWESTERN MOTOR TRANSPORT INC
906,302,90660,30213,573,$397.34,$443.71,STG LTL formerly Frontline Freight
906,328,90670,32824,573,$385.22,$411.65,XPO Logistics
917,983,91761,98371,572,$262.03,$427.07,Forward Air
770,799,77029,79907,572,$265.19,$184.49,AAA COOPER TRANSPORTATION
70,201,7026,20166,568,$259.22,$252.61,FedEx Economy
770,705,77041,70518,567,$309.6,$214.97,AAA COOPER TRANSPORTATION
906,841,90670,84119,567,$281.02,$290.46,Forward
331,336,33147,33603,567,$208.27,$157.94,Specialized Freight Carriers
330,917,33023,91730,566,$392.2,$410.08,STG LTL formerly Frontline Freight
86,221,8638,22191,566,$266.88,$192.31,Ward Trucking
553,331,55343,33178,565,$268.04,$418.61,Forward
917,895,91761,89521,564,,$233.24,Mountain Valley Express
86,328,8638,32824,564,$274.36,$338.47,XPO Logistics
770,780,77032,78045,563,$256.15,$147.6,Vocar Transportation
917,339,91752,33916,559,$463.98,$432.91,XPO Logistics
605,331,60502,33178,559,$238.14,$424.94,AAA COOPER TRANSPORTATION
531,600,53151,60007,558,$260.59,$134.11,TAX AIRFREIGHT
900,100,90001,10001,556,$447.24,$557.4,STG LTL formerly Frontline Freight
917,301,91710,30144,555,$403.63,$419.5,XPO Logistics
917,450,91748,45069,555,$350.98,$375.12,XPO Logistics
921,902,92154,90220,553,,$156.24,GlovaLink
293,331,29303,33142,553,$253.12,$236.76,AAA COOPER TRANSPORTATION
917,85,91748,8512,551,$441.25,$463.96,ABF Freight
601,917,60104,91730,549,$417.64,$382.58,WARD Trucking
761,761,76155,76119,547,$138.14,$132.84,Vocar Transportation
300,302,30024,30297,545,$144.43,$197.86,RL Carriers
900,221,90058,22191,544,$392.72,$483.83,STG LTL formerly Frontline Freight
751,750,75172,75028,542,$141.49,$159.84,SOUTHWESTERN MOTOR TRANSPORT INC
272,88,27288,8831,542,$250.17,$269.66,RL Carriers
272,761,27288,76119,542,$264.03,$236.63,AAA COOPER TRANSPORTATION
799,770,79936,77032,542,$260.57,$211.62,AAA COOPER TRANSPORTATION
945,902,94544,90220,537,$689.27,$231.3,Mountain Valley Express
331,70,33122,7036,534,$278.12,$232.55,Specialized Freight Carriers
900,605,90058,60502,531,$319.6,$402.53,ABF Freight
902,921,90220,92154,528,,$156.24,GlovaLink
271,220,27101,22003,527,$197.78,$228.88,WARD Trucking
921,900,92123,90001,526,,$156.24,GlovaLink
926,902,92618,90221,525,$139.81,$125.52,GlovaLink
917,919,91761,91911,524,,$156.24,GlovaLink
900,984,90058,98499,522,$260.36,$423.5,ABF Freight
917,372,91748,37207,520,$385.22,$359.76,XPO Logistics
601,112,60191,11238,520,$235.31,$465.16,Forward
902,945,90221,94598,520,$265.9,$260.57,Mountain Valley Express
601,554,60123,55445,519,$266.7,$141.52,TAX AIRFREIGHT
925,900,92571,90040,517,$179.72,$125.52,GlovaLink
945,940,94545,94080,516,$126.02,$170.88,Mountain Valley Express
331,300,33172,30004,515,$206.92,$201.72,R&L Carriers
330,333,33013,33317,513,$139.65,$158.09,Specialized Freight Carriers
282,606,28207,60647,512,$254.75,$253.0,FEDEX FREIGHT ECONOMY
76,331,7663,33178,512,$268.04,$271.31,Specialized Freight Carriers
770,802,77029,80216,511,$250.1,$287.36,AAA COOPER TRANSPORTATION
917,957,91748,95742,509,$256.89,$252.84,Forward
900,891,90058,89118,509,$259.77,$203.92,Mountain Valley Express
917,337,91748,33762,508,$392.69,$475.9,STG LTL formerly Frontline Freight
303,300,30354,30043,507,$138.44,$188.35,AAA COOPER TRANSPORTATION
923,902,92337,90220,506,$139.63,$125.52,GlovaLink
381,331,38118,33182,506,$245.64,$203.83,AAA COOPER TRANSPORTATION
760,770,76017,77032,506,$223.52,$159.77,Vocar Transportation
906,921,90670,92154,505,,$156.24,GlovaLink
750,760,75041,76086,505,$145.45,$169.21,AAA COOPER TRANSPORTATION
917,342,91761,34221,504,$411.4,$424.97,XPO Logistics
906,923,90670,92337,502,$134.6,$125.52,GlovaLink
531,601,53110,60106,500,$260.59,$134.11,TAX AIRFREIGHT
70,605,7092,60510,498,$235.31,$231.54,WARD Trucking
770,703,77029,70380,498,$309.6,$215.41,AAA COOPER TRANSPORTATION
282,296,28273,29607,496,$197.94,$173.34,AAA COOPER TRANSPORTATION
917,751,91761,75115,493,$408.68,$354.54,XPO Logistics
80,331,8085,33182,493,$332.32,$271.31,Specialized Freight Carriers
917,531,91752,53154,492,$428.73,$364.08,XPO Logistics
786,917,78610,91730,492,$453.83,$367.21,SOUTHWESTERN MOTOR TRANSPORT INC
87,111,8701,11101,490,$144.43,$167.21,JP Express
923,761,92345,76119,489,$448.59,$312.8,XPO Logistics
923,782,92337,78260,489,$408.5,$405.07,XPO Logistics
180,331,18031,33182,489,$330.42,$366.18,WARD Trucking
70,600,7036,60007,488,$230.69,$231.54,WARD Trucking
906,852,90670,85286,488,$236.64,$242.6,TOTAL TRANSPORTATION DISTRIBUTION
331,342,33178,34234,488,$216.85,$158.09,Specialized Freight Carriers
